route_number,duration_in_seconds,distance_in_km
324340,2045.0000000000002,29.87114951469409
375971,6659.0,27.655584660523065
428977,2345.0,37.87345051360741
445438,2092.0,35.7650715550873
36889,3086.0,33.80316102764781
46545,2382.0,30.47703636348543
54009,2414.0,34.91417628378073
64320,2659.0,36.036700904807645
67941,2610.0,34.17865569932047
83557,2760.0,33.26221713980442
88127,2206.0,39.00828578938955
91078,2368.0,34.18332963015159
150097,2421.0,50.28381468545881
158727,3055.0,32.19517783499602
161480,2874.0,35.37193161963967
164729,8849.0,29.694976652789013
172162,4531.0,35.694713526293164
